Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM (64x12),LSRAM (20K),Chip Globals,PLL
CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/Primitives,0,0,0,0,0,0,0,0,4,1
CLOCKS_AND_RESETS_0/Primitives,2,0,0,0,0,0,0,0,1,0
CLOCKS_AND_RESETS_0/RESET_FIC_0_CLK/CORERESET_0/Primitives,2,16,0,0,0,0,0,0,1,0
CLOCKS_AND_RESETS_0/RESET_FIC_3_CLK/CORERESET_0/Primitives,0,17,0,0,0,0,0,0,1,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_AXI4INITIATORDMACtrl/Primitives,1069,515,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_AXI4LiteTARGETCtrl/Primitives,93,92,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/Primitives,207,8,0,0,0,0,0,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_0/ram_dscConCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscConCacheNM_R0C0/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_0/ram_dscConCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscConCacheNM_R0C1/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_1/ram_dscCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheNM_R0C0/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_1/ram_dscCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheNM_R0C1/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_1/ram_dscCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheNM_R0C2/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_1/ram_dscCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheNM_R0C3/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_1/ram_dscCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheNM_R0C4/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_1/ram_dscCacheNM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheNM_R0C5/Primitives,0,0,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_2/ram_dscCacheM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheM_R0C0/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_2/ram_dscCacheM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheM_R0C1/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_2/ram_dscCacheM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheM_R0C2/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_2/ram_dscCacheM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheM_R0C3/Primitives,0,2,12,12,0,0,1,0,0,0
FIC_0_PERIPHERALS_0/DMA_CONTROLLER_inst_0/DMA_CONTROLLER_0/U_DMAController/DMAArbiter_inst/DSCRPTR_CACHE/genblk1.genblk1.UI_ram_wrapper_2/ram_dscCacheM/DMA_CONTROLLER_DMA_CONTROLLER_0_SRAM_dscCacheM_R0C4/Primitives,0,2,12,12,0,0,1,0,0,0
