SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.r_buff_addr_fifo_data_valid_1[0],MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.r_buff_addr_fifo_data_valid_0[0],False Path Constraint,NO,0,NO,Divergence detected in the crossover path.
2,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.r_buff_addr_fifo_data_valid_2[0],MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.r_buff_addr_fifo_data_valid_1[0],False Path Constraint,NO,0,NO,Divergence detected in the crossover path.
3,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.r_buff_addr_fifo_data_valid_3[0],MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.r_buff_addr_fifo_data_valid_2[0],False Path Constraint,NO,0,NO,Divergence detected in the crossover path.
4,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.ddr_wr_addr_valid_o,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.r_buff_addr_fifo_data_valid_0[0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
5,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.s_ren,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.buff_addr_fifo_rd_o,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
6,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.rbin[5:0],MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.buff_addr_fifo_rd_o,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
7,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.wbin[5:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.buff_addr_fifo_wen,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
8,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.wptr[4:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.buff_addr_fifo_wen,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
9,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.rptr[4:0],MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.buff_addr_fifo_rd_o,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
10,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.rempty,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0/PF_CCC_C1_0/PF_CCC_C1_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.vdma_controller.buff_addr_fifo_rd_o,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
11,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.wfull,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.buff_addr_fifo_wen,False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
12,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.vdma_write_0.buff_addr_fifo.RAM2PORT_ASYNC_FIFO_INST.ram[31:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.buff_addr_fifo_data[31:0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
13,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.interrupt_controller_vdma_0.event_status[4:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.interrupt_en[4:0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
14,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.interrupt_controller_vdma_0.diff_cnt\[0\][4:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.interrupt_status_clr[4:0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
15,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.interrupt_controller_vdma_0.diff_cnt\[1\][4:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.interrupt_status_clr[4:0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
16,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.interrupt_controller_vdma_0.diff_cnt\[2\][4:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.interrupt_status_clr[4:0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
17,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.interrupt_controller_vdma_0.diff_cnt\[3\][4:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.interrupt_status_clr[4:0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
18,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.interrupt_controller_vdma_0.diff_cnt\[4\][4:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,MIPI_CAMERA_0.VDMA_C0_0.VDMA_C0_0.dma_top_0.axi4lite_regmap_vdma_0.write_reg_vdma_0.interrupt_status_clr[4:0],False Path Constraint,NO,0,NO,Combinatorial logic detected at clock domain crossing.
19,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.sync[1:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,neoTRNG_cell_5_false|sreg_4_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.4\.latch[4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
20,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.0\.latch[0],neoTRNG_cell_5_false|sreg_0_inferred_clock[0],neoTRNG_cell_5_false|sreg_4_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.4\.latch[4],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
21,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.1\.latch[1],neoTRNG_cell_5_false|sreg_1_inferred_clock[0],neoTRNG_cell_5_false|sreg_0_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.0\.latch[0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
22,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.2\.latch[2],neoTRNG_cell_5_false|sreg_2_inferred_clock[0],neoTRNG_cell_5_false|sreg_1_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.1\.latch[1],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
23,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.3\.latch[3],neoTRNG_cell_5_false|sreg_3_inferred_clock[0],neoTRNG_cell_5_false|sreg_2_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.2\.latch[2],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
24,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.4\.latch[4],neoTRNG_cell_5_false|sreg_4_inferred_clock[0],neoTRNG_cell_5_false|sreg_3_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.0\.neoTRNG_cell_inst.ring_osc_gen\.3\.latch[3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
25,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.sync[1:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,neoTRNG_cell_9_false|sreg_8_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.8\.latch[8],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
26,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.0\.latch[0],neoTRNG_cell_9_false|sreg_0_inferred_clock[0],neoTRNG_cell_9_false|sreg_8_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.8\.latch[8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
27,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.1\.latch[1],neoTRNG_cell_9_false|sreg_1_inferred_clock[0],neoTRNG_cell_9_false|sreg_0_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.0\.latch[0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
28,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.2\.latch[2],neoTRNG_cell_9_false|sreg_2_inferred_clock[0],neoTRNG_cell_9_false|sreg_1_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.1\.latch[1],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
29,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.3\.latch[3],neoTRNG_cell_9_false|sreg_3_inferred_clock[0],neoTRNG_cell_9_false|sreg_2_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.2\.latch[2],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
30,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.4\.latch[4],neoTRNG_cell_9_false|sreg_4_inferred_clock[0],neoTRNG_cell_9_false|sreg_3_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.3\.latch[3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
31,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.5\.latch[5],neoTRNG_cell_9_false|sreg_5_inferred_clock[0],neoTRNG_cell_9_false|sreg_4_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.4\.latch[4],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
32,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.6\.latch[6],neoTRNG_cell_9_false|sreg_6_inferred_clock[0],neoTRNG_cell_9_false|sreg_5_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.5\.latch[5],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
33,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.7\.latch[7],neoTRNG_cell_9_false|sreg_7_inferred_clock[0],neoTRNG_cell_9_false|sreg_6_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.6\.latch[6],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
34,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.8\.latch[8],neoTRNG_cell_9_false|sreg_8_inferred_clock[0],neoTRNG_cell_9_false|sreg_7_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.2\.neoTRNG_cell_inst.ring_osc_gen\.7\.latch[7],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
35,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.1\.neoTRNG_cell_inst.sync[1:0],CLOCKS_AND_RESETS_0/CCC_FIC_x_CLK/PF_CCC_C0_0/pll_inst_0/OUT0,neoTRNG_cell_7_false|sreg_6_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.1\.neoTRNG_cell_inst.ring_osc_gen\.6\.latch[6],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
36,FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.1\.neoTRNG_cell_inst.ring_osc_gen\.0\.latch[0],neoTRNG_cell_7_false|sreg_0_inferred_clock[0],neoTRNG_cell_7_false|sreg_6_inferred_clock[0],FIC_0_PERIPHERALS_0.security_core_0.rng.neoTRNG_0.entropy_cell_gen\.1\.neoTRNG_cell_inst.ring_osc_gen\.6\.latch[6],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
