Library, Design Unit ,Compile time , Hardware Gen ,Optimization Stg1 ,Optimization Stg2 , Peak Mem Usage, Incr Mem Usage, Hardware Gen ,Optimization Stg1 ,Optimization Stg2
work, video_axi_fifo_vdma_Z111_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   370 MB,     1 MB,     0 MB,     0 MB,     0 MB
work, video_axi_fifo_vdma_Z108_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   370 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, ddr_axi4_arbiter_vdma_4s_38s_64s_0s_1s_2s_0s,0h:00m:03s,0h:00m:03s,-,0h:00m:00s,   370 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, mipicsi2rxdecoderPF_Z102_layer0,0h:00m:02s,0h:00m:02s,0h:00m:00s,0h:00m:00s,   370 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, miv_ihc_core_Z85_layer0,0h:00m:03s,0h:00m:03s,0h:00m:00s,0h:00m:00s,   370 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, miv_ihc_address_controller_Z83_layer0,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   370 MB,     7 MB,     0 MB,     4 MB,     3 MB
work, CoreUARTapb_C0_CoreUARTapb_C0_0_COREUART_1s_1s_0s_27s_0s_0s,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   370 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, security_core_3s_2s_5s,0h:00m:02s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   413 MB,     8 MB,     0 MB,     0 MB,     8 MB
work, aes256_dec_3s_76_layer0,0h:00m:01s,0h:00m:00s,0h:00m:01s,0h:00m:00s,   413 MB,     9 MB,     2 MB,     7 MB,     1 MB
work, aes256_key_expansion_3s_75_layer0,0h:00m:02s,0h:00m:00s,0h:00m:01s,0h:00m:00s,   413 MB,    73 MB,     3 MB,    59 MB,    11 MB
work, caxi4interconnect_SlvProtocolConverter_Z49_layer0,0h:00m:02s,0h:00m:02s,-,0h:00m:00s,   413 MB,     3 MB,     3 MB,     0 MB,     0 MB
work, caxi4interconnect_DWC_DownConv_widthConvwr_64s_32s_1s_46s_8s_4s_9s,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   413 MB,    14 MB,     0 MB,     2 MB,    11 MB
work, caxi4interconnect_SlvDataWidthConverter_Z47_layer0,0h:00m:05s,0h:00m:05s,-,0h:00m:00s,   413 MB,     4 MB,     4 MB,     0 MB,     0 MB
work, COREAXI4INTERCONNECT_Z43_layer0,0h:00m:17s,0h:00m:16s,-,0h:00m:00s,   413 MB,    13 MB,    13 MB,     0 MB,     0 MB
work, caxi4interconnect_WDataController_Z38_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   413 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, caxi4interconnect_RDataController_Z34_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   413 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, caxi4interconnect_DependenceChecker_Z27_layer0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   413 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, caxi4interconnect_AddressController_Z26_layer0,0h:00m:03s,0h:00m:02s,0h:00m:00s,0h:00m:00s,   413 MB,     3 MB,     3 MB,     0 MB,     0 MB
work, caxi4interconnect_Axi4CrossBar_Z24_layer0,0h:00m:09s,0h:00m:09s,-,0h:00m:00s,   413 MB,     5 MB,     5 MB,     0 MB,     0 MB
work, caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_9s_8s_0,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   413 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, caxi4interconnect_SlvProtocolConverter_Z21_layer0,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   413 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, caxi4interconnect_RegisterSlice_1_1_1_1_1_9s_32s_64s_0s_1s,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   413 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, caxi4interconnect_DWC_UpConv_RChannel_8s_1s_16s_4s_64s_32s_0_1s,0h:00m:02s,0h:00m:02s,0h:00m:00s,0h:00m:00s,   413 MB,     0 MB,     0 MB,     0 MB,     0 MB
work, caxi4interconnect_MstrDataWidthConv_Z15_layer0,0h:00m:09s,0h:00m:09s,-,0h:00m:00s,   413 MB,     2 MB,     2 MB,     0 MB,     0 MB
work, caxi4interconnect_RegisterSlice_1_1_1_1_1_8s_32s_64s_0s_1s,0h:00m:01s,0h:00m:01s,-,0h:00m:00s,   413 MB,     1 MB,     1 MB,     0 MB,     0 MB
work, COREAXI4INTERCONNECT_Z14_layer0,0h:00m:15s,0h:00m:15s,-,0h:00m:00s,   413 MB,     4 MB,     4 MB,     0 MB,     0 MB
work, DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_AXI4INITIATORDMACtrl_Z11_layer0,0h:00m:01s,0h:00m:00s,0h:00m:00s,0h:00m:01s,   413 MB,    24 MB,     0 MB,     5 MB,    19 MB
work, DMA_CONTROLLER_DMA_CONTROLLER_0_CoreAXI4DMAController_intExtDscrptrCache_4s_2s_24s_134s_167s_27s_0s,0h:00m:01s,0h:00m:01s,0h:00m:00s,0h:00m:00s,   413 MB,     1 MB,     0 MB,     0 MB,     0 MB
